movie_id,director_id
1,7
2,23
2,152
3,144
4,115
5,88
6,98
7,12
8,161
9,59
10,117
11,175
12,70
13,9
14,184
14,81
15,118
15,37
16,150
17,24
18,175
19,142
20,138
21,117
22,129
23,164
24,136
24,1
24,154
25,79
25,62
26,22
26,188
27,122
28,139
29,133
30,59
31,9
32,139
33,63
34,109
35,26
35,16
35,104
36,109
37,114
37,141
38,24
38,193
39,103
40,68
40,117
40,74
41,40
42,139
43,123
44,48
45,104
45,31
46,145
47,102
48,193
49,26
49,19
49,138
50,18
51,181
51,78
52,170
53,28
54,163
55,24
55,163
56,68
57,3
58,39
59,79
60,92
61,144
62,42
63,86
64,180
65,57
65,52
66,169
67,198
68,138
68,85
68,8
69,68
70,81
71,12
72,189
72,172
73,85
74,171
75,171
76,141
77,149
78,189
79,159
80,58
81,157
81,197
81,19
82,127
83,198
84,179
85,119
86,185
87,122
88,134
89,70
90,99
91,16
92,179
93,123
94,108
95,70
96,186
97,137
97,7
97,101
98,47
98,13
99,98
100,121
100,5
101,11
101,194
101,8
102,33
103,197
104,42
105,97
106,63
106,27
107,11
107,89
107,137
108,108
109,182
109,40
110,138
111,63
112,119
113,125
114,153
115,105
116,115
117,63
118,109
119,185
120,177
120,48
120,50
121,195
122,78
123,14
124,4
125,123
126,148
127,64
128,159
129,77
129,151
130,196
131,62
132,177
133,117
134,161
135,39
136,153
137,104
138,111
139,148
139,151
140,11
141,47
141,150
142,86
143,127
144,117
145,198
146,106
147,128
148,179
149,41
150,30
150,119
150,31
151,124
152,131
152,192
153,107
154,186
155,115
155,138
156,83
157,199
158,99
158,170
159,26
160,168
161,160
162,82
163,162
164,26
165,15
166,145
167,62
168,66
169,114
170,117
171,147
172,71
173,13
174,91
175,185
176,113
177,76
178,94
179,76
179,192
180,58
181,102
182,173
183,60
184,57
184,166
185,78
185,167
186,30
186,25
186,61
187,139
188,126
189,114
190,166
191,117
192,6
193,145
193,53
193,18
194,153
195,139
195,65
195,45
196,92
197,33
198,152
199,12
199,187
200,110
200,176
201,21
202,150
203,111
204,167
204,197
205,117
206,40
207,190
208,144
208,85
208,172
209,193
210,91
211,124
212,30
213,197
214,178
215,87
216,18
217,136
218,80
219,194
220,114
221,73
222,154
223,197
223,36
224,45
225,172
226,118
227,104
228,159
229,63
229,112
230,86
231,50
232,61
232,27
233,195
234,149
235,83
235,161
235,81
236,71
237,95
238,130
239,116
239,147
240,88
241,135
241,134
241,157
242,199
243,17
244,169
245,80
245,168
246,165
247,176
247,135
248,5
249,125
249,50
250,26
250,130
251,159
251,34
252,43
253,73
254,50
255,200
256,155
257,96
258,196
259,112
260,90
260,7
261,96
261,58
261,8
262,38
263,36
264,39
265,78
266,160
267,162
268,62
269,135
270,100
271,62
272,91
273,179
274,118
275,11
276,65
277,200
278,95
279,48
280,22
281,21
282,43
283,112
284,104
285,37
285,156
285,174
286,99
287,196
288,81
289,144
290,55
291,116
291,45
292,17
293,180
294,127
295,142
296,184
297,82
298,142
298,164
299,32
299,133
300,58
300,89
301,71
301,33
301,161
302,149
303,87
303,145
304,165
305,128
306,104
306,77
307,53
308,89
309,120
310,13
311,41
312,128
313,130
313,118
314,127
315,28
316,12
317,99
318,33
319,143
319,94
319,194
320,12
321,133
321,117
322,157
323,87
324,5
325,186
326,149
326,148
326,59
327,98
328,180
329,39
330,189
330,187
331,84
332,140
333,178
334,77
335,54
336,74
337,102
338,183
339,192
340,70
341,13
342,121
343,141
344,123
344,167
345,16
346,186
347,46
348,192
349,86
350,35
350,130
351,166
352,146
353,132
353,84
354,36
355,193
356,67
357,176
358,76
359,117
360,171
361,21
362,141
363,30
364,117
364,34
365,186
365,6
366,109
367,121
367,9
368,187
369,97
369,21
370,138
371,77
372,64
372,118
373,29
374,5
375,154
376,56
377,188
378,37
379,189
380,89
381,97
382,77
382,182
383,107
384,116
385,97
386,172
387,4
387,55
387,49
388,102
389,137
390,185
391,12
392,149
392,185
393,63
394,126
395,185
396,9
397,2
398,56
399,124
400,138
401,46
402,50
403,104
404,21
404,168
405,3
406,25
407,122
407,70
408,140
408,145
409,193
410,100
411,186
411,21
411,129
412,197
413,116
414,150
415,69
416,100
417,93
418,143
419,84
420,144
421,36
422,71
423,185
423,161
424,102
425,86
426,83
427,82
428,63
429,145
430,7
431,105
432,97
433,137
434,93
435,169
436,193
437,57
438,101
439,7
440,187
441,134
442,18
443,166
443,28
444,144
445,164
446,100
447,181
448,48
448,94
449,136
449,164
450,91
451,158
452,96
453,125
454,36
455,92
456,144
456,130
457,22
458,74
459,127
460,94
460,139
461,109
462,77
463,23
463,113
464,189
465,36
466,137
467,147
468,35
468,193
469,34
470,174
471,116
472,104
473,84
473,149
473,1
474,137
474,102
475,83
476,88
476,175
477,118
478,117
479,34
479,167
479,78
480,93
481,102
482,1
483,175
484,34
485,81
486,35
486,165
487,185
488,176
489,151
490,22
491,177
492,53
492,133
493,62
494,4
495,108
495,94
496,18
497,102
497,130
498,103
499,72
500,40
500,138
501,165
502,62
503,117
504,182
505,134
505,133
505,185
506,188
506,31
507,17
508,131
509,66
510,59
511,99
512,183
513,20
514,133
515,73
515,199
516,75
517,127
518,39
519,89
520,189
521,37
522,96
523,101
524,34
525,101
525,180
526,198
527,138
528,31
529,181
530,92
531,8
531,104
531,116
532,32
533,34
533,51
533,103
534,67
535,114
535,33
536,32
536,11
537,128
538,55
539,158
540,16
541,165
542,92
543,100
544,200
545,60
546,189
547,100
548,82
549,145
549,37
550,45
551,123
552,34
553,16
553,6
554,135
555,151
556,41
557,144
558,97
558,79
559,101
559,198
560,164
561,82
562,172
562,164
563,66
564,188
565,140
566,176
567,76
567,6
568,97
569,24
569,87
570,156
